Wavelength; ‡Ì‡Î ¿—¬Œƒ 0; ‡Ì‡Î ¿—¬Œƒ 1; ‡Ì‡Î ¿—¬Œƒ 2
1500.027588;-47.396000;-50.642000;-47.388000
1500.035156;-47.428000;-50.648000;-47.428000
1500.042725;-47.472000;-50.636000;-47.482000
1500.050293;-47.524000;-50.608000;-47.528000
1500.057861;-47.544000;-50.568000;-47.584000
1500.065430;-47.554000;-50.582000;-47.598000
1500.072998;-47.602000;-50.550000;-47.594000
1500.080566;-47.634000;-50.526000;-47.582000
1500.088013;-47.626000;-50.484000;-47.584000
1500.095581;-47.670000;-50.428000;-47.578000
1500.103149;-47.676000;-50.374000;-47.598000
1500.110718;-47.642000;-50.340000;-47.578000
1500.118286;-47.592000;-50.326000;-47.552000
1500.125854;-47.574000;-50.326000;-47.514000
1500.133423;-47.510000;-50.324000;-47.458000
1500.140991;-47.482000;-50.290000;-47.382000
1500.148560;-47.506000;-50.240000;-47.344000
1500.156128;-47.454000;-50.206000;-47.340000
1500.163696;-47.430000;-50.178000;-47.304000
1500.171265;-47.416000;-50.186000;-47.302000
1500.178711;-47.434000;-50.222000;-47.352000
1500.186279;-47.390000;-50.304000;-47.422000
1500.193848;-47.432000;-50.344000;-47.468000
1500.201416;-47.452000;-50.358000;-47.584000
1500.208984;-47.478000;-50.368000;-47.662000
1500.216553;-47.450000;-50.360000;-47.676000
1500.224121;-47.432000;-50.352000;-47.688000
1500.231689;-47.400000;-50.366000;-47.692000
1500.239258;-47.388000;-50.394000;-47.654000
1500.246826;-47.354000;-50.388000;-47.622000
1500.254395;-47.354000;-50.366000;-47.618000
1500.261841;-47.390000;-50.332000;-47.588000
1500.269409;-47.436000;-50.304000;-47.552000
1500.276978;-47.468000;-50.288000;-47.540000
1500.284546;-47.536000;-50.284000;-47.506000
1500.292114;-47.584000;-50.346000;-47.472000
1500.299683;-47.608000;-50.386000;-47.454000
1500.307251;-47.596000;-50.406000;-47.418000
1500.314819;-47.504000;-50.414000;-47.412000
1500.322388;-47.450000;-50.428000;-47.430000
1500.329956;-47.398000;-50.388000;-47.438000
1500.337524;-47.370000;-50.360000;-47.482000
1500.345093;-47.350000;-50.374000;-47.510000
1500.352539;-47.392000;-50.366000;-47.496000
1500.360107;-47.360000;-50.378000;-47.496000
1500.367676;-47.314000;-50.408000;-47.506000
1500.375244;-47.256000;-50.424000;-47.458000
1500.382813;-47.246000;-50.386000;-47.426000
1500.390381;-47.334000;-50.380000;-47.368000
1500.397949;-47.364000;-50.368000;-47.366000
1500.405640;-47.398000;-50.348000;-47.366000
1500.413330;-47.410000;-50.386000;-47.384000
1500.421021;-47.480000;-50.426000;-47.440000
1500.428711;-47.408000;-50.468000;-47.510000
1500.436279;-47.402000;-50.480000;-47.542000
1500.443970;-47.468000;-50.494000;-47.536000
1500.451660;-47.492000;-50.470000;-47.532000
1500.459351;-47.422000;-50.426000;-47.510000
1500.467041;-47.430000;-50.380000;-47.484000
1500.474731;-47.412000;-50.354000;-47.436000
1500.482422;-47.362000;-50.320000;-47.402000
1500.490112;-47.370000;-50.290000;-47.354000
1500.497803;-47.386000;-50.338000;-47.316000
1500.505371;-47.340000;-50.372000;-47.298000
1500.513062;-47.364000;-50.358000;-47.274000
1500.520752;-47.358000;-50.366000;-47.302000
1500.528442;-47.346000;-50.354000;-47.346000
1500.536133;-47.362000;-50.290000;-47.380000
1500.543823;-47.430000;-50.234000;-47.382000
1500.551514;-47.468000;-50.228000;-47.404000
1500.559204;-47.456000;-50.240000;-47.412000
1500.566895;-47.486000;-50.258000;-47.388000
1500.574463;-47.500000;-50.298000;-47.370000
1500.582153;-47.446000;-50.380000;-47.394000
1500.589844;-47.396000;-50.448000;-47.366000
1500.597534;-47.392000;-50.484000;-47.320000
1500.605225;-47.338000;-50.524000;-47.274000
1500.612915;-47.304000;-50.528000;-47.248000
1500.620605;-47.342000;-50.496000;-47.188000
1500.628296;-47.390000;-50.454000;-47.160000
1500.635986;-47.394000;-50.428000;-47.162000
1500.643555;-47.426000;-50.412000;-47.162000
1500.651245;-47.400000;-50.410000;-47.152000
1500.658936;-47.294000;-50.386000;-47.186000
1500.666626;-47.252000;-50.358000;-47.148000
1500.674316;-47.198000;-50.318000;-47.154000
1500.682007;-47.146000;-50.302000;-47.176000
1500.689697;-47.074000;-50.310000;-47.202000
1500.697388;-47.168000;-50.344000;-47.174000
1500.705078;-47.154000;-50.380000;-47.228000
1500.712646;-47.180000;-50.392000;-47.216000
1500.720337;-47.158000;-50.398000;-47.200000
1500.728027;-47.242000;-50.372000;-47.154000
1500.735718;-47.222000;-50.326000;-47.164000
1500.743408;-47.220000;-50.296000;-47.152000
1500.751099;-47.216000;-50.278000;-47.134000
1500.758789;-47.242000;-50.272000;-47.132000
1500.766479;-47.222000;-50.270000;-47.140000
1500.774170;-47.172000;-50.278000;-47.178000
1500.781616;-47.158000;-50.276000;-47.164000
1500.789063;-47.114000;-50.274000;-47.160000
1500.796509;-47.054000;-50.276000;-47.130000
1500.803833;-46.978000;-50.306000;-47.106000
1500.811279;-46.974000;-50.324000;-47.018000
1500.818726;-47.004000;-50.346000;-46.986000
1500.826050;-47.014000;-50.396000;-46.972000
1500.833496;-47.020000;-50.386000;-46.974000
1500.840942;-47.070000;-50.370000;-46.970000
1500.848389;-47.122000;-50.370000;-47.008000
1500.855713;-47.048000;-50.388000;-47.120000
1500.863159;-47.112000;-50.364000;-47.164000
1500.870605;-47.174000;-50.368000;-47.206000
1500.877930;-47.216000;-50.360000;-47.242000
1500.885376;-47.238000;-50.344000;-47.242000
1500.892822;-47.270000;-50.302000;-47.194000
1500.900269;-47.278000;-50.288000;-47.174000
1500.907593;-47.270000;-50.298000;-47.146000
1500.915039;-47.266000;-50.310000;-47.106000
1500.922485;-47.270000;-50.304000;-47.044000
1500.929810;-47.266000;-50.306000;-47.058000
1500.937256;-47.258000;-50.290000;-47.036000
1500.944702;-47.224000;-50.242000;-46.990000
1500.952148;-47.210000;-50.124000;-46.926000
1500.959473;-47.226000;-50.040000;-46.916000
1500.966919;-47.230000;-49.952000;-46.874000
1500.974365;-47.230000;-49.886000;-46.866000
1500.981689;-47.266000;-49.824000;-46.884000
1500.989136;-47.268000;-49.842000;-46.968000
1500.996582;-47.266000;-49.904000;-46.986000
1501.003906;-47.324000;-49.998000;-47.002000
1501.011353;-47.328000;-50.060000;-47.052000
1501.018799;-47.308000;-50.120000;-47.120000
1501.026245;-47.272000;-50.178000;-47.162000
1501.033569;-47.238000;-50.176000;-47.180000
1501.041016;-47.156000;-50.112000;-47.194000
1501.048462;-47.144000;-50.058000;-47.162000
1501.055786;-47.194000;-50.084000;-47.140000
1501.063232;-47.196000;-50.086000;-47.112000
1501.070679;-47.190000;-50.072000;-47.132000
1501.078125;-47.206000;-50.074000;-47.162000
1501.085449;-47.234000;-50.122000;-47.222000
1501.092896;-47.206000;-50.106000;-47.256000
1501.100342;-47.240000;-50.098000;-47.260000
1501.107666;-47.304000;-50.086000;-47.202000
1501.115112;-47.294000;-50.052000;-47.160000
1501.122559;-47.256000;-49.982000;-47.072000
1501.130005;-47.222000;-49.932000;-47.040000
1501.137329;-47.212000;-49.900000;-47.010000
1501.144775;-47.160000;-49.878000;-47.028000
1501.152344;-47.164000;-49.862000;-47.010000
1501.160034;-47.116000;-49.876000;-47.010000
1501.167603;-47.062000;-49.850000;-47.056000
1501.175293;-47.036000;-49.842000;-47.120000
1501.182861;-47.062000;-49.844000;-47.152000
1501.190552;-47.054000;-49.890000;-47.184000
1501.198120;-47.132000;-49.920000;-47.206000
1501.205811;-47.156000;-50.000000;-47.178000
1501.213379;-47.138000;-50.044000;-47.160000
1501.221069;-47.066000;-50.112000;-47.166000
1501.228638;-47.066000;-50.106000;-47.166000
1501.236328;-47.070000;-50.094000;-47.160000
1501.243896;-47.076000;-50.064000;-47.134000
1501.251465;-47.112000;-50.058000;-47.120000
1501.259155;-47.124000;-50.030000;-47.030000
1501.266724;-47.064000;-50.028000;-47.010000
1501.274414;-46.920000;-50.024000;-47.028000
1501.281982;-46.910000;-50.040000;-46.994000
1501.289673;-46.924000;-50.050000;-46.952000
1501.297241;-46.932000;-50.058000;-46.924000
1501.304932;-46.968000;-50.080000;-46.904000
1501.312500;-47.122000;-50.114000;-46.850000
1501.320190;-47.078000;-50.114000;-46.888000
1501.327759;-47.016000;-50.122000;-46.954000
1501.335449;-47.034000;-50.126000;-46.996000
1501.343018;-47.036000;-50.118000;-47.028000
1501.350586;-47.034000;-50.086000;-47.070000
1501.358276;-47.064000;-50.092000;-47.070000
1501.365845;-47.130000;-50.086000;-47.068000
1501.373535;-47.128000;-50.072000;-47.134000
1501.381104;-47.120000;-50.080000;-47.192000
1501.388794;-47.122000;-50.094000;-47.202000
1501.396362;-47.106000;-50.072000;-47.234000
1501.404053;-47.104000;-50.038000;-47.236000
1501.411621;-47.068000;-49.990000;-47.212000
1501.419312;-47.046000;-49.942000;-47.144000
1501.426880;-47.056000;-49.924000;-47.112000
1501.434570;-47.058000;-49.892000;-47.054000
1501.442139;-47.008000;-49.878000;-47.064000
1501.449829;-46.962000;-49.878000;-47.066000
1501.457397;-46.936000;-49.836000;-47.106000
1501.464966;-46.906000;-49.768000;-47.072000
1501.472656;-46.902000;-49.752000;-47.068000
1501.480225;-46.958000;-49.716000;-47.014000
1501.487915;-46.974000;-49.708000;-47.018000
1501.495483;-46.970000;-49.758000;-47.012000
1501.503174;-46.958000;-49.818000;-47.026000
1501.510742;-46.934000;-49.836000;-47.054000
1501.518433;-46.906000;-49.876000;-47.144000
1501.526001;-46.908000;-49.856000;-47.172000
1501.533691;-46.934000;-49.804000;-47.212000
1501.541260;-46.950000;-49.794000;-47.244000
1501.548950;-46.964000;-49.802000;-47.258000
1501.556519;-46.938000;-49.776000;-47.222000
1501.564209;-46.938000;-49.766000;-47.162000
1501.571777;-46.962000;-49.766000;-47.110000
1501.579468;-46.972000;-49.708000;-47.046000
1501.587036;-46.980000;-49.640000;-47.014000
1501.594727;-46.996000;-49.622000;-47.012000
1501.602295;-46.990000;-49.622000;-47.058000
1501.609985;-46.940000;-49.626000;-47.064000
1501.617554;-46.946000;-49.682000;-47.028000
1501.625244;-46.912000;-49.724000;-47.018000
1501.632813;-46.912000;-49.754000;-47.008000
1501.640503;-46.894000;-49.820000;-46.994000
1501.648071;-46.908000;-49.898000;-47.000000
1501.655762;-46.890000;-49.942000;-47.036000
1501.663330;-46.950000;-49.990000;-47.040000
1501.671021;-47.070000;-50.058000;-47.054000
1501.678589;-47.154000;-50.040000;-47.078000
1501.686279;-47.214000;-50.004000;-47.134000
1501.693848;-47.226000;-49.990000;-47.174000
1501.701538;-47.218000;-49.966000;-47.184000
1501.709106;-47.070000;-49.910000;-47.186000
1501.716797;-47.042000;-49.886000;-47.162000
1501.724365;-47.012000;-49.914000;-47.110000
1501.732056;-46.992000;-49.904000;-47.044000
1501.739624;-46.972000;-49.920000;-47.000000
1501.747314;-46.996000;-49.932000;-46.958000
1501.754883;-46.974000;-49.932000;-46.916000
1501.762573;-46.948000;-49.860000;-46.916000
1501.770142;-46.932000;-49.818000;-46.902000
1501.777832;-46.910000;-49.762000;-46.902000
1501.785400;-46.856000;-49.710000;-46.900000
1501.793091;-46.824000;-49.716000;-46.898000
1501.800659;-46.794000;-49.772000;-46.886000
1501.808350;-46.780000;-49.806000;-46.876000
1501.815918;-46.760000;-49.882000;-46.888000
1501.823608;-46.780000;-49.960000;-46.894000
1501.831177;-46.758000;-50.012000;-46.890000
1501.838867;-46.818000;-50.038000;-46.830000
1501.846436;-46.840000;-50.044000;-46.824000
1501.854126;-46.870000;-50.008000;-46.838000
1501.861694;-46.886000;-49.924000;-46.872000
1501.869385;-46.924000;-49.822000;-46.918000
1501.876953;-46.894000;-49.736000;-47.000000
1501.884644;-46.878000;-49.664000;-47.054000
1501.892212;-46.854000;-49.632000;-47.110000
1501.899902;-46.852000;-49.608000;-47.104000
1501.907471;-46.854000;-49.594000;-47.040000
1501.915161;-46.832000;-49.572000;-46.998000
1501.922729;-46.824000;-49.554000;-46.904000
1501.930420;-46.826000;-49.528000;-46.804000
1501.937988;-46.768000;-49.538000;-46.724000
1501.945679;-46.766000;-49.544000;-46.652000
1501.953247;-46.776000;-49.546000;-46.642000
1501.960938;-46.824000;-49.532000;-46.680000
1501.968506;-46.864000;-49.512000;-46.724000
1501.976074;-46.944000;-49.516000;-46.802000
1501.983765;-46.966000;-49.522000;-46.906000
